,app,purpose,validator,amount,ticker,remarks,rewards,rewards ticker,prices,value,rewards prices,rewards value,total value
0,Unallocated,Spot,\,104.0,DYM,161.0,,,2.0748316176659256,215.78248823725627,,0,215.78248823725627
1,Unallocated,Spot,\,30.06,ATOM,,,,8.781943745856472,263.98522900044554,,0,263.98522900044554
2,Unallocated,Spot,\,14.07,TIA,,,,6.690939450906011,94.14151807424759,,0,94.14151807424759
3,Unallocated,Spot,\,13.9,INJ,,,,27.16812136732872,377.6368870058692,,0,377.6368870058692
4,Unallocated,Spot,\,0.275,OSMO,,,,0.610742192992758,0.16795410307300845,,0,0.16795410307300845
