Metric,Phantom,Keplr,Metamask,OKX,Trust,Total
Initial investment,3100.0,1110.0,2300.0,2000.0,700.0,9210.0
Portfolio value,2744.09,538.01,1294.19,1542.24,608.55,6727.08
Rewards value,0.0,0.0,0.0,0.0,0.0,0.0
Absolute ROI,-355.91,-571.99,-1005.81,-457.76,-91.45,-2482.92
Relative ROI (%),-11.48,-51.53,-43.73,-22.89,-13.06,-26.96
