Metric,Phantom,Keplr,Metamask,OKX,Trust,Total
Initial investment,3100.0,1110.0,2300.0,2000.0,700.0,9210.0
Portfolio value,2897.15,717.6,1286.47,1408.89,688.15,6998.25
Rewards value,0.0,0.0,0.0,0.0,0.0,0.0
Absolute ROI,-202.85,-392.4,-1013.53,-591.11,-11.85,-2211.75
Relative ROI (%),-6.54,-35.35,-44.07,-29.56,-1.69,-24.01
