Metric,Phantom,Keplr,Metamask,OKX,Trust,Total
Initial investment,3100.0,1110.0,2300.0,2000.0,700.0,9210.0
Portfolio value,2829.49,581.84,1135.99,1249.87,603.81,6401.01
Rewards value,0.0,0.0,0.0,0.0,0.0,0.0
Absolute ROI,-270.51,-528.16,-1164.01,-750.13,-96.19,-2808.99
Relative ROI (%),-8.73,-47.58,-50.61,-37.51,-13.74,-30.5
