Metric,Phantom,Keplr,Metamask,OKX,Trust,Total
Initial investment,3100.0,1110.0,2300.0,2000.0,700.0,9210.0
Portfolio value,2955.57,694.9,1249.88,1363.53,669.01,6932.88
Rewards value,0.0,0.0,0.0,0.0,0.0,0.0
Absolute ROI,-144.43,-415.1,-1050.12,-636.47,-30.99,-2277.12
Relative ROI (%),-4.66,-37.4,-45.66,-31.82,-4.43,-24.72
