Metric,Phantom,Keplr,Metamask,OKX,Trust,Total
Initial investment,3100.0,1110.0,2300.0,2000.0,700.0,9210.0
Portfolio value,2964.63,733.52,1299.73,1423.01,696.44,7117.33
Rewards value,0.0,0.0,0.0,0.0,0.0,0.0
Absolute ROI,-135.37,-376.48,-1000.27,-576.99,-3.56,-2092.67
Relative ROI (%),-4.37,-33.92,-43.49,-28.85,-0.51,-22.72
