Metric,Phantom,Keplr,Metamask,OKX,Trust,Total
Initial investment,3100.0,1110.0,2300.0,2000.0,700.0,9210.0
Portfolio value,2745.64,529.62,1256.06,1503.7,591.8,6626.81
Rewards value,0.0,0.0,0.0,0.0,0.0,0.0
Absolute ROI,-354.36,-580.38,-1043.94,-496.3,-108.2,-2583.19
Relative ROI (%),-11.43,-52.29,-45.39,-24.82,-15.46,-28.05
