Metric,Phantom,Keplr,Metamask,OKX,Trust,Total
Initial investment,3100.0,1110.0,2300.0,2000.0,700.0,9210.0
Portfolio value,3080.9,777.01,1333.34,1474.23,716.65,7382.14
Rewards value,0.0,0.0,0.0,0.0,0.0,0.0
Absolute ROI,-19.1,-332.99,-966.66,-525.77,16.65,-1827.86
Relative ROI (%),-0.62,-30.0,-42.03,-26.29,2.38,-19.85
