Metric,Phantom,Keplr,Metamask,OKX,Trust,Total
Initial investment,3100.0,1110.0,2300.0,2000.0,700.0,9210.0
Portfolio value,2901.35,616.65,1172.93,1285.13,626.1,6602.17
Rewards value,0.0,0.0,0.0,0.0,0.0,0.0
Absolute ROI,-198.65,-493.35,-1127.07,-714.87,-73.9,-2607.83
Relative ROI (%),-6.41,-44.45,-49.0,-35.74,-10.56,-28.32
