Metric,Phantom,Keplr,Metamask,OKX,Trust,Total
Initial investment,3100.0,1110.0,2300.0,2000.0,700.0,9210.0
Portfolio value,2958.54,694.96,1258.56,1372.28,674.07,6958.42
Rewards value,0.0,0.0,0.0,0.0,0.0,0.0
Absolute ROI,-141.46,-415.04,-1041.44,-627.72,-25.93,-2251.58
Relative ROI (%),-4.56,-37.39,-45.28,-31.39,-3.7,-24.45
