Metric,Phantom,Keplr,Metamask,OKX,Trust,Total
Initial investment,3100.0,1110.0,2300.0,2000.0,700.0,9210.0
Portfolio value,2616.44,546.44,1122.53,1242.67,599.52,6127.61
Rewards value,0.0,0.0,0.0,0.0,0.0,0.0
Absolute ROI,-483.56,-563.56,-1177.47,-757.33,-100.48,-3082.39
Relative ROI (%),-15.6,-50.77,-51.19,-37.87,-14.35,-33.47
