Metric,Phantom,Keplr,Metamask,OKX,Trust,Total
Initial investment,3100.0,1110.0,2300.0,2000.0,700.0,9210.0
Portfolio value,2885.51,591.62,1142.8,1260.04,608.56,6488.52
Rewards value,0.0,0.0,0.0,0.0,0.0,0.0
Absolute ROI,-214.49,-518.38,-1157.2,-739.96,-91.44,-2721.48
Relative ROI (%),-6.92,-46.7,-50.31,-37.0,-13.06,-29.55
