app,TVL,rewards value,total value
Eigenlayer,0.0,0.0,0.0
Etherfi,479.31,0.0,479.31
Swell,595.24,0.0,595.24
Wallet,253.13,0.0,253.13
Total,1327.67,0.0,1327.67
