ticker,id
MSOL,msol
BSOL,blazestake-staked-sol
PYTH,pyth-network
SOL,solana
ASTER,aster-2
RSETH,kelp-dao-restaked-eth
ETH,ethereum
CODEC,codec-flow
DAI,dai
CWIF,catwifhat-2
GM,gm-machine
ROCK,it-s-just-a-rock
STTIA,stride-staked-tia
SWTCH,switchboard
LST,liquid-staking-token
KAITO,kaito
WEETH,wrapped-eeth
EIGEN,eigenlayer
