,app,purpose,amount,ticker,remarks,rewards,rewards ticker,prices,value,rewards prices,rewards value,total value
0,Kamino x Meteora,Liquidity pool,4350000.0,KWEN-SOL,,,,,118.0,,0,118.0
1,Kamino,Lending (ALT market),4435521.0,BONK,,,,1.57119084469082e-05,69.6904998663387,,0,69.6904998663387
2,Kamino,Lending (ALT market),324675.0,WEN,,,,2.9787257938803652e-05,9.671177971281075,,0,9.671177971281075
3,Kamino,Staking,1232.0,KMNO,,,,0.09891457219135572,121.86275293975024,,0,121.86275293975024
4,Drift,Vault,308.0,USDC,,,,0.9999738780740549,307.9919544468089,,0,307.9919544468089
5,Drift,Staking,227.57,DRIFT,,,,0.6748838075322506,153.58330808011428,,0,153.58330808011428
6,Drift,Lending,1.0,SOL,,,,172.75192248939769,172.75192248939769,,0,172.75192248939769
7,Jupiter DAO,Staking,252.87,JUP,,,,0.7431530636034916,187.92111519341495,,0,187.92111519341495
8,Wallet,Spot,1.8557,SOL,,,,172.75192248939769,320.57574256357526,,0,320.57574256357526
9,Wallet,Spot,239.0,USDC,,,,0.9999738780740549,238.99375685969912,,0,238.99375685969912
10,Wallet,Spot,0.00433,BTC,,,,96269.8058670832,416.8482594044702,,0,416.8482594044702
11,Wallet,Spot,3030000.0,BONK,,,,1.57119084469082e-05,47.607082594131846,,0,47.607082594131846
