app,TVL,rewards value,total value
Drift,634.33,0.0,634.33
Jupiter DAO,187.92,0.0,187.92
Kamino,201.22,0.0,201.22
Kamino x Meteora,118.0,0.0,118.0
Wallet,1024.02,0.0,1024.02
Total,2165.5,0.0,2165.5
